price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
926.34,1337.0,83536,-1,2203398342,1337,1,False,2025-03-12 18:11:31.000,20,60000052,10000168,30023387,0,
926.34,1337.0,83536,-1,2203398292,1337,1,False,2025-03-12 18:11:31.000,20,60000002,10000168,30000004,2147483647,
926.34,1337.0,83536,-1,2203398293,1337,1,False,2025-03-12 18:11:31.000,20,60000003,10000168,30000005,2147483647,
926.34,1337.0,83536,-1,2203398294,1337,1,False,2025-03-12 18:11:31.000,20,60000004,10000168,30000008,2147483647,
926.34,1337.0,83536,-1,2203398295,1337,1,False,2025-03-12 18:11:31.000,20,60000005,10000168,30000009,2147483647,
926.34,1337.0,83536,-1,2203398296,1337,1,False,2025-03-12 18:11:31.000,20,60000006,10000168,30006132,2147483647,
926.34,1337.0,83536,-1,2203398297,1337,1,False,2025-03-12 18:11:31.000,20,60000007,10000168,30009450,2147483647,
926.34,1337.0,83536,-1,2203398298,1337,1,False,2025-03-12 18:11:31.000,20,60000008,10000168,30009604,2147483647,
926.34,1337.0,83536,-1,2203398299,1337,1,False,2025-03-12 18:11:31.000,20,60000009,10000168,30009748,2147483647,
926.34,1337.0,83536,-1,2203398300,1337,1,False,2025-03-12 18:11:31.000,20,60000010,10000168,30009827,2147483647,
926.34,1337.0,83536,-1,2203398301,1337,1,False,2025-03-12 18:11:31.000,20,60000011,10000168,30010058,2147483647,
926.34,1337.0,83536,-1,2203398302,1337,1,False,2025-03-12 18:11:31.000,20,60000012,10000168,30010447,2147483647,
926.34,1337.0,83536,-1,2203398303,1337,1,False,2025-03-12 18:11:31.000,20,60000013,10000168,30010597,2147483647,
926.34,1337.0,83536,-1,2203398304,1337,1,False,2025-03-12 18:11:31.000,20,60000014,10000168,30010690,2147483647,
926.34,1337.0,83536,-1,2203398305,1337,1,False,2025-03-12 18:11:31.000,20,60000015,10000168,30013484,2147483647,
926.34,1337.0,83536,-1,2203398306,1337,1,False,2025-03-12 18:11:31.000,20,60000016,10000168,30013685,2147483647,
926.34,1337.0,83536,-1,2203398307,1337,1,False,2025-03-12 18:11:31.000,20,60000017,10000168,30013774,2147483647,
926.34,1337.0,83536,-1,2203398308,1337,1,False,2025-03-12 18:11:31.000,20,60000018,10000168,30013856,2147483647,
926.34,1337.0,83536,-1,2203398309,1337,1,False,2025-03-12 18:11:31.000,20,60000019,10000168,30013927,2147483647,
926.34,1337.0,83536,-1,2203398310,1337,1,False,2025-03-12 18:11:31.000,20,60000020,10000168,30016541,2147483647,
926.34,1337.0,83536,-1,2203398311,1337,1,False,2025-03-12 18:11:31.000,20,60000021,10000168,30016963,2147483647,
926.34,1337.0,83536,-1,2203398312,1337,1,False,2025-03-12 18:11:31.000,20,60000022,10000168,30017132,2147483647,
926.34,1337.0,83536,-1,2203398313,1337,1,False,2025-03-12 18:11:31.000,20,60000023,10000168,30017403,2147483647,
926.34,1337.0,83536,-1,2203398314,1337,1,False,2025-03-12 18:11:31.000,20,60000024,10000168,30017452,2147483647,
