price,volRemaining,typeID,range,orderID,volEntered,minVolume,bid,issueDate,duration,stationID,regionID,solarSystemID,jumps,
11.9,1337.0,78429,-1,2203402559,1337,1,False,2025-03-12 18:12:15.000,20,60000052,10000168,30023387,0,
11.9,1337.0,78429,-1,2203402509,1337,1,False,2025-03-12 18:12:15.000,20,60000002,10000168,30000004,2147483647,
11.9,1337.0,78429,-1,2203402510,1337,1,False,2025-03-12 18:12:15.000,20,60000003,10000168,30000005,2147483647,
11.9,1337.0,78429,-1,2203402511,1337,1,False,2025-03-12 18:12:15.000,20,60000004,10000168,30000008,2147483647,
11.9,1337.0,78429,-1,2203402512,1337,1,False,2025-03-12 18:12:15.000,20,60000005,10000168,30000009,2147483647,
11.9,1337.0,78429,-1,2203402513,1337,1,False,2025-03-12 18:12:15.000,20,60000006,10000168,30006132,2147483647,
11.9,1337.0,78429,-1,2203402514,1337,1,False,2025-03-12 18:12:15.000,20,60000007,10000168,30009450,2147483647,
11.9,1337.0,78429,-1,2203402515,1337,1,False,2025-03-12 18:12:15.000,20,60000008,10000168,30009604,2147483647,
11.9,1337.0,78429,-1,2203402516,1337,1,False,2025-03-12 18:12:15.000,20,60000009,10000168,30009748,2147483647,
11.9,1337.0,78429,-1,2203402517,1337,1,False,2025-03-12 18:12:15.000,20,60000010,10000168,30009827,2147483647,
11.9,1337.0,78429,-1,2203402518,1337,1,False,2025-03-12 18:12:15.000,20,60000011,10000168,30010058,2147483647,
11.9,1337.0,78429,-1,2203402519,1337,1,False,2025-03-12 18:12:15.000,20,60000012,10000168,30010447,2147483647,
11.9,1337.0,78429,-1,2203402520,1337,1,False,2025-03-12 18:12:15.000,20,60000013,10000168,30010597,2147483647,
11.9,1337.0,78429,-1,2203402521,1337,1,False,2025-03-12 18:12:15.000,20,60000014,10000168,30010690,2147483647,
11.9,1337.0,78429,-1,2203402522,1337,1,False,2025-03-12 18:12:15.000,20,60000015,10000168,30013484,2147483647,
